# {"t_start": 1557470624.180563, "env_id": "maze-sample-5x5-v0"} 
r,l,t
-0.316,330,1.200119
-0.36,341,1.382214
-8.0,2000,2.44401
-0.536,385,2.647299
-0.308,328,2.850849
-1.06,516,3.221406
0.272,183,3.333548
-6.512,1879,4.456611
-1.716,680,4.77285
-0.9,476,5.013366
-0.244,312,5.154324
-0.644,412,5.347855
0.76,61,5.377691
0.592,103,5.426509
-5.452,1614,6.183895
-0.024,257,6.303232
-0.164,292,6.44078
-0.348,338,6.599184
-3.196,1050,7.096895
-0.092,274,7.225005
-0.696,425,7.427099
-0.084,272,7.548583
-3.804,1202,8.124301
0.312,173,8.207698
0.532,118,8.262027
0.176,207,8.359265
-0.028,258,8.480209
-0.464,367,8.652392
-0.052,264,8.772229
0.58,106,8.827172
-2.44,861,9.234708
0.188,204,9.330074
-0.132,284,9.464926
-1.936,735,9.812118
-2.516,880,10.23126
0.5,126,10.315249
-1.204,552,10.639223
0.468,134,10.702478
0.14,216,10.805732
-0.988,498,11.041271
0.46,136,11.104093
0.584,105,11.153685
0.664,85,11.197386
-0.084,272,11.330598
0.68,81,11.369993
0.04,241,11.484833
-0.456,365,11.654949
-2.052,764,12.013507
-3.832,1209,12.583779
-1.892,724,12.920158
0.292,178,13.000962
0.508,124,13.058969
0.8,51,13.083582
-1.456,615,13.373347
-0.416,355,13.556158
-1.572,644,13.866684
-0.22,306,14.012413
-1.964,742,14.373068
-1.388,598,14.658312
-2.972,994,15.121594
-0.588,398,15.308182
-2.988,998,15.803493
0.076,232,15.935599
0.36,161,16.009825
0.596,102,16.059719
-8.0,2000,16.976807
-3.912,1229,17.545945
-8.0,2000,18.475997
-1.524,632,18.773603
-2.296,825,19.158788
-8.0,2000,20.099111
0.632,93,20.141821
0.02,246,20.256349
0.516,122,20.314634
-5.984,1747,21.170576
-6.032,1759,22.057094
-0.148,288,22.196417
-0.44,361,22.372124
0.7,76,22.407962
-0.424,357,22.5731
-0.132,284,22.705195
-1.204,552,22.960543
0.368,159,23.032822
-3.068,1018,23.502392
-2.128,783,23.878297
-0.308,328,24.030348
0.048,239,24.140439
0.764,60,24.171646
-0.196,300,24.311879
-1.076,520,24.559488
-0.64,411,24.754912
0.452,138,24.816067
-0.524,382,25.001675
0.736,67,25.032356
0.32,171,25.109291
0.02,246,25.227887
-0.472,369,25.397183
-6.984,1997,26.322708
-1.92,731,26.66199
-0.268,318,26.812393
-0.336,335,26.968763
0.38,156,27.039456
-4.204,1302,27.676221
-5.072,1519,28.392093
-8.0,2000,29.352529
-8.0,2000,30.284115
-2.332,834,30.706441
0.36,161,30.783145
